page,company_name,details_text
1,BK Group,BK Group; announced an Interim Dividend of Rwf.11.20 on 21-Nov-2025; Books Closure; 08-Dec-2025; Payment date; 12-Jan-2026
1,I&M Bank,I&M Bank Ltd; announced an Interim Dividend of Kes.1.50 on 20-Nov-2025; Books Closure; 15-Dec-2025; Payment date; 14-Jan-2026
1,Co-operative Bank,Co-operative Bank of Kenya Plc; announced an Interim Dividend of Kes.1.00; On 13-Oct-2025; Books Closure 26-Nov-2025; Payment 04-Dec-2025
1,Kapchorua Tea Kenya Plc,Announced a Bonus Issue of a ratio of 1:1 on 27-Jun-2025; Books Closure; 13-Oct-2025; Credit date; 03-Nov-2025
1,Williamson Tea Kenya,Announced a Bonus Issue of a ratio of 1:1 on 27-Jun-2025; Books Closure; 13-Oct-2025; Credit date; 03-Nov-2025
1,KenGen Plc,KenGen Plc ;KE0000000547; announced a first and final Dividend of Kes. 0.90 on 31-Oct-2025; Books Closure; 04-12-2025; Payment Date; 12-02-2026
1,Carbacid Investment Plc,Carbacid Investments Plc ;KE0000000117; announced a final Dividend of Kes. 2.00 on 31-Oct-2025; Books Closure 26-Nov-2025; Payment Date; 18-Dec-2025
1,The Kenya Power & Lighting Company Plc,Kenya Power & Lighting Plc; announced a Final Dividend of Kes.0.80 on 07-Oct-2025; Books Closure 02-Dec-2025; Payment 30-Jan-2026
2,Centum Investment Co Plc,Announced a final dividend of Kes.0.32 on 14-Jul-2025; Books Closure;09-Oct-2025; Payment date; 19-Dec-2025
2,Car & General Ltd,Announced an Interim Dividend of Kes.0.30 on 13-Aug-2025; Books Closure; 02-Sep-2025; Payment date; 15-Sep-2025
2,Absa Bank Kenya Plc,Announced an Interim Dividend of Kes.0.20 on 12-Aug-2025; Books Closure; 19-Sep-2025; Payment date; 15-Oct-2025
2,KCB Group Plc,Announced an Interim & Special Dividend of Kes.4.00 on 13-Aug-2025; Books Closure; 03-Sep-2025; Payment date; 11-Nov-2025
2,NCBA Group Plc,Announced an Interim Dividend of Kes.2.50 on 29-Aug-2025; Books Closure; 18-Sep-2025; Payment date; 02-Oct-2025
2,Jubilee Holdings Ltd,Announced an Interim Dividend of Kes.2.00 on 29-Aug-2025; Books Closure; 5-Sep-2025; Payment date; 09-Oct-2025
2,BOC Kenya Plc,BOC Kenya Plc; announced an Interim Dividend of Kes.2.50; Books Closure 20-Sep-2025; Payment 14-Oct-2025.
2,Standard Chartered Bank Kenya,Announced an Interim Dividend of Kes.8.00 on 20-Aug-2025; Books Closure 11-Sep-2025; Payment Date; 07-Oct-2025
3,Stanbic Holdings Plc,Stanbic Holdings Plc; announced a Interim Dividend of Kes.3.80 on 07-Aug-2025; Books Closure 02-Sep-2025;Payment Date 29-Sep-2025.
3,East African Breweries Plc,Announced a Final Dividend of Kes.5.50 on 30-Jul-2025; Books Closure 16-Sep-2025; Payment Date 28-Oct-2025
3,BAT Kenya Plc,Announced an Interim Dividend of Kes.10.00 on 24-Jul-2025; Books Closure 29-Aug-2025; Payment 26-Sep-2025.
3,Kapchorua Tea Kenya Plc,Announced a First & Final Dividend of Kes.25.00 on 27-Jun-2025; Books Closure; 31-Jul-2025; Payment date; 02-Sep-2025
3,Williamson Tea Kenya Plc,Announced a First & Final Dividend of Kes.10.00 on 27-Jun-2025; Books Closure; 31-Jul-2025; Payment date; 02-Sep-2025
3,TPS Eastern Africa Plc,TPS Eastern Africa Ltd; KE0000000539; announced a First and Final Dividend of Kes.0.35 on 14-May-2025; Books Closure; 26-Jun-2025; Payment date; 30-Jul-2025
3,TPS Eastern Africa Plc,TPS Eastern Africa Ltd; KE0000000539; announced a First and Final Dividend of Kes.0.35 on 14-May-2025; Books Closure; 26-Jun-2025; Payment date; 30-Jul-2025
3,Safaricom Plc,Safaricom Plc announced a Final dividend of Kes.0.65 on 09-May-2025; Books Closure 31-Jul-2025; Payment 31-Aug-2025.
4,Crown Paints Kenya Plc,Crown Paints Kenya Plc; announced a First & Final Dividend of Kes.3.00; On 30-Apr-2025; Books Closure 20-Jun-2025; Payment 30-Jun-2025.
4,Car & General (K) Ltd,Announced a First & Final Dividend of Kes.0.80 on 30-Apr-2025; Books Closure 29-May-2025; Payment on 19-Jun-2025.
4,TotalEnergies Marketing Kenya Plc,Announced a First & Final Dividend of Kes.1.92; On 30-Apr-2025; Books Closure 27-Jun-2025; Payment on 31-Jul-2025.
4,Jubilee Holdings Ltd,Jubilee Holdings Ltd; KE0000000273; announced a Final Dividend of Kes.11.50 on 04-Apr-2025; Books Closure; 28-May-2025; Payment date; 25-Jul-2025
4,KCB Group Plc,KCB Group Plc; KE0000000315; announced a Final Dividend of Kes.1.50 on 13-Mar-2025; Books Closure; 03-Apr-2025; Payment Date SUBJECT TO APPROVAL
4,Kenya Re Insurance Corporation Ltd,Kenya Re Insurance Corporation Ltd; KE0000000604; announced a Final Dividend of Kes.0.15 on 28-Mar-2025; Books Closure; SUBJECT TO APPROVAL; Payment date; SUBJECT TO APPROVAL
4,Liberty Kenya Holdings Ltd,Liberty Kenya Holdings Ltd; KE2000002168; announced a Special Dividend of Kes.0.60 on 26-Mar-2025; Books Closure; SUBJECT TO APPROVAL; Payment date; SUBJECT TO APPROVAL
4,Liberty Kenya Holdings Ltd,Liberty Kenya Holdings Ltd; KE2000002168; announced a Final Dividend of Kes.1.00 on 26-Mar-2025; Books Closure; SUBJECT TO APPROVAL; Payment date; SUBJECT TO APPROVAL
5,Laptrust Imara IREIT,Laptrust Imara IREIT; KE9100008870; announced a full year Distribution of Kes.0.82 on 27-Mar-2025; Books Closure; 02-Apr-2025; Payment date; 30-Apr-2025
5,I&M Group Plc,I&M Group Plc; KKE0000000125; announced a Final Dividend of Kes.1.70 on 26-Mar-2025; Books Closure; 16-Apr-2025; Payment Date; 22-May 2025
5,NCBA Group Plc,NCBA Group Plc; KE0000000406; announced a Final Dividend of Kes.3.25 on 26-Mar-2025; Books Closure; 30-Apr-2025; Payment Date 28-May-2025
5,Kakuzi Plc,Kakuzi Plc ; KE0000000281; announced a Final Dividend of Kes.8.00 on 25-Mar-2025; Books Closure; 31-May-2025; Payment Date 16-Jun-2025
5,CIC Insurance Group Plc,CIC Insurance Group Plc; KE2000002317; announced a bonus issue of 1:10 on 28-Mar-2025; Books Closure; 22-Apr-2025; Payment Date 18-Jun-2025
5,CIC Insurance Group Plc,CIC Insurance Group Plc; KE2000002317; announced a First & Final Dividend of Kes.0.13 on 28-Mar-2025; Books Closure; 22-Apr-2025; Payment Date 18-Jun-2025
5,BK Group Plc,BK Group Plc; KE5000008986; announced a Final Dividend of RwF 19.02 on 28-Mar-2025; Books Closure; 30-May-2025; Payment Date 25-June-2025
5,Diamond Trust Bank Kenya Ltd,Diamond Trust Bank Kenya Ltd; KE0000000158; announced a Final Dividend of Kes.7.00 on 26-Mar-2025; Books Closure; 23-May-2025; Payment date; 27-Jun-2025
6,Equity Group Holdings Plc,Equity Group Holdings Plc; KE0000000554; announced a Final Dividend of Kes.4.25 on 27-Mar-2025; Books Closure; 23-May-2025; Payment date; 30-Jun-2025
6,Nairobi Securities Exchange Plc,Nairobi Securities Exchange Plc; KE3000009674; announced a First & Final Dividend of Kes.0.32 on 28-Mar-2025; Books Closure; 21-May-2025; Payment date; 31-Jul-2025
6,B.A.T,Announced a Final Dividend of Kes.45.00 on 24-Feb-2025; Books Closure; 23-May-2025; Payment date; 25-Jun-2025
6,Co-operative bank of Kenya,Co-operative Bank of Kenya Plc; announced a Final Dividend of Kes.1.50; Books Closure 28-Apr-2025; Payment 10-Jun-2025
6,ABSA Bank Kenya Plc,ABSA Bank Kenya Plc; announced a Final Dividend of Kes.1.55; Books Closure 30-Apr-2025; Payment 22-May-2025
6,Standard Chartered Bank Kenya Ltd,Announced a Final Dividend of Kes.37.00 on 19-Mar-2025; Books Closure 30-Apr-2025; Payment Date; 28-May-2025
6,KCB Group Plc,Announced a Final Dividend of Kes.1.50 on 13-Mar-2025; Books Closure 03-Apr-2025; Payment Date; 23-May-2025
6,Stanbic Holdings Plc,Announced a Final Dividend of Kes.18.90 on 05-Mar-2025; Books Closure 16-May-2025;
7,East African Portlands Plc,Announced a First & Final Dividend of Kes.1.00 on 28-Nov-2024; Books Closure 31-Dec-2024; Payment date 31-Mar-2025
7,Safaricom Plc,Safaricom announced an Interim Dividend of Kes.0.55 on 13-Feb-2025; Books Closure 03-Mar-2025; Payment 31-Mar-2025.
7,KPLC,Kenya Power & Lighting Plc; announced an Interim Dividend of Kes.0.20 on 30-Jan-2025; Books Closure 28-Feb-2025; Payment 11-Apr-2025
7,EABL,Announced an Interim Dividend of Kes.2.50 on 30-Jan-2025; Books Closure 21-Feb-2025; Payment Date 30-Apr-2025
7,I&M,I&M Group Plc; announced an Interim Dividend of Kes.1.30; Books Closure 16-Dec-2024; Payment 14-Jan-2025.
7,Carbacid Investments Plc,Carbacid Investments Plc ;KE0000000117; announced a final Dividend of Kes. 1.70 on 31-Oct-2024; Books Closure 26-Nov-2024; Payment Date; 18-Dec-2024
7,KenGen Plc,KenGen Plc ;KE0000000547; announced a first and final Dividend of Kes. 0.65 on 29-Oct-2024; Books Closure; 28-11-2024; Payment Date; 13-02-2025
7,Kenya Power & Lighting Plc,Kenya Power & Lighting Plc; announced a First & Final Dividend of Kes.0.70 on 29-Oct-2024; Books Closure 02-Dec-2024; Payment 31-Jan-2025
8,Bamburi Cement Plc,Bamburi Cement Plc; announced a Special Dividend of Kes.18.25; Books Closure 20-Sep-2024; Payment 27-Sep-2024.
8,ABSA Bank Kenya Plc,Announced an Interim Dividend of Kes.0.20 on 26-Aug-2024; Books Closure 20-Sep-2024; Payment Date; 15-Oct-2024
8,BOC,Announced an Interim Dividend of Kes.2.50 on 22-Aug-2024; Books Closure 20-Sep-2024; Payment Date; 14-Oct-2024
8,NCBA Group Plc,Announced an Interim Dividend of Kes.2.25 on 22-Aug-2024; Books Closure 11-Sep-2024; Payment Date; 25-Sep-2024
8,KCB Group,Announced an Interim Dividend of Kes.1.50 on 22-Aug-2024; Books Closure 12-Sep-2024; Payment Date; 30-Oct-2024
