company_name,dividend_type,dividend_amount,announcement_date,books_closure_date,payment_date
BK Group,Interim Dividend,Rwf.11.20,21-Nov-2025,08-Dec-2025,12-Jan-2026
I&M Bank,Interim Dividend,Kes.1.50,20-Nov-2025,15-Dec-2025,14-Jan-2026
Co-operative Bank,Interim Dividend,Kes.1.00,13-Oct-2025,26-Nov-2025,04-Dec-2025
Kapchorua Tea Kenya Plc,Bonus Issue,1:1,27-Jun-2025,13-Oct-2025,
Williamson Tea Kenya,Bonus Issue,1:1,27-Jun-2025,13-Oct-2025,
KenGen Plc,Final Dividend,Kes.0.90,31-Oct-2025,04-12-2025,12-02-2026
Carbacid Investment Plc,Final Dividend,Kes.2.00,31-Oct-2025,26-Nov-2025,18-Dec-2025
The Kenya Power & Lighting Company Plc,Final Dividend,Kes.0.80,07-Oct-2025,02-Dec-2025,30-Jan-2026
Centum Investment Co Plc,Final Dividend,Kes.0.32,14-Jul-2025,09-Oct-2025,19-Dec-2025
Car & General Ltd,Interim Dividend,Kes.0.30,13-Aug-2025,02-Sep-2025,15-Sep-2025
Absa Bank Kenya Plc,Interim Dividend,Kes.0.20,12-Aug-2025,19-Sep-2025,15-Oct-2025
KCB Group Plc,Interim & Special Dividend,Kes.4.00,13-Aug-2025,03-Sep-2025,11-Nov-2025
NCBA Group Plc,Interim Dividend,Kes.2.50,29-Aug-2025,18-Sep-2025,02-Oct-2025
Jubilee Holdings Ltd,Interim Dividend,Kes.2.00,29-Aug-2025,5-Sep-2025,09-Oct-2025
BOC Kenya Plc,Interim Dividend,Kes.2.50,20-Sep-2025,20-Sep-2025,14-Oct-2025
Standard Chartered Bank Kenya,Interim Dividend,Kes.8.00,20-Aug-2025,11-Sep-2025,07-Oct-2025
Stanbic Holdings Plc,Interim Dividend,Kes.3.80,07-Aug-2025,02-Sep-2025,29-Sep-2025
East African Breweries Plc,Final Dividend,Kes.5.50,30-Jul-2025,16-Sep-2025,28-Oct-2025
BAT Kenya Plc,Interim Dividend,Kes.10.00,24-Jul-2025,29-Aug-2025,26-Sep-2025
Kapchorua Tea Kenya Plc,Final Dividend,Kes.25.00,27-Jun-2025,31-Jul-2025,02-Sep-2025
Williamson Tea Kenya Plc,Final Dividend,Kes.10.00,27-Jun-2025,31-Jul-2025,02-Sep-2025
TPS Eastern Africa Plc,Final Dividend,Kes.0.35,14-May-2025,26-Jun-2025,30-Jul-2025
TPS Eastern Africa Plc,Final Dividend,Kes.0.35,14-May-2025,26-Jun-2025,30-Jul-2025
Safaricom Plc,Final Dividend,Kes.0.65,09-May-2025,31-Jul-2025,31-Aug-2025
Crown Paints Kenya Plc,Final Dividend,Kes.3.00,30-Apr-2025,20-Jun-2025,30-Jun-2025
Car & General (K) Ltd,Final Dividend,Kes.0.80,30-Apr-2025,29-May-2025,
TotalEnergies Marketing Kenya Plc,Final Dividend,Kes.1.92,30-Apr-2025,27-Jun-2025,
Jubilee Holdings Ltd,Final Dividend,Kes.11.50,04-Apr-2025,28-May-2025,25-Jul-2025
KCB Group Plc,Final Dividend,Kes.1.50,13-Mar-2025,03-Apr-2025,
Kenya Re Insurance Corporation Ltd,Final Dividend,Kes.0.15,28-Mar-2025,,
Liberty Kenya Holdings Ltd,Special Dividend,Kes.0.60,26-Mar-2025,,
